time,target,feedback,amp,freq,error
4.038920164108276,1000.0,-3.2525000000000004,67,114,1003.2525
8.264008522033691,1000.0,769.555,83,144,230.44500000000005
12.551537990570068,1000.0,1182.1975,69,120,-182.1975
16.792248487472534,1000.0,826.6974999999999,81,138,173.30250000000012
21.032179832458496,1000.0,1108.955,72,126,-108.95499999999993
25.28909921646118,1000.0,903.3325000000001,79,138,96.6674999999999
29.529168367385864,1000.0,1068.8200000000002,73,132,-68.82000000000016
33.80101013183594,1000.0,925.6850000000001,78,138,74.31499999999994
37.946301221847534,1000.0,1045.145,74,132,-45.14499999999998
42.20192551612854,1000.0,935.0399999999997,78,138,64.96000000000026
46.442206621170044,1000.0,1042.4074999999998,74,132,-42.4074999999998
50.6836314201355,1000.0,933.3825,78,138,66.61749999999995
54.89183235168457,1000.0,1044.7625,74,132,-44.762500000000045
59.13104820251465,1000.0,933.14,78,138,66.86000000000001
63.38778376579285,1000.0,1040.7,74,132,-40.700000000000045
67.61263346672058,1000.0,931.9775000000002,78,138,68.02249999999981
71.80492210388184,1000.0,1040.23,75,132,-40.23000000000002
76.04478049278259,1000.0,953.3375,78,138,46.66250000000002
80.26913332939148,1000.0,1041.8600000000001,74,132,-41.86000000000013
84.49329876899719,1000.0,931.61,79,138,68.38999999999999
88.70222043991089,1000.0,1068.295,73,132,-68.29500000000007
92.94248080253601,1000.0,925.4799999999999,78,138,74.5200000000001
97.16657567024231,1000.0,1040.1299999999999,75,132,-40.12999999999988
101.4065477848053,1000.0,950.5025000000002,78,138,49.49749999999983
105.663015127182,1000.0,1036.3200000000002,75,132,-36.320000000000164
109.9355628490448,1000.0,950.055,78,138,49.94500000000005
114.17585277557373,1000.0,1038.6875,75,132,-38.6875
118.38426756858826,1000.0,950.7199999999999,78,138,49.280000000000086
122.57683897018433,1000.0,1038.8225,75,132,-38.82249999999999
time,target,feedback,amp,freq,error
4.125657558441162,300.0,-3.3625,20,36,303.3625
8.31759524345398,300.0,73.3725,36,60,226.6275
12.541940450668335,300.0,252.81499999999997,39,66,47.18500000000003
16.765406131744385,300.0,290.9125,39,66,9.087499999999977
20.97480034828186,300.0,288.51000000000005,39,66,11.489999999999952
25.23046350479126,300.0,290.8125,39,66,9.1875
29.487605571746826,300.0,289.5825,39,66,10.417500000000018
33.743857622146606,300.0,291.1375,39,66,8.862500000000011
37.96785235404968,300.0,290.70750000000004,39,66,9.292499999999961
42.22428107261658,300.0,290.84499999999997,39,66,9.15500000000003
46.4648699760437,300.0,289.03000000000003,39,66,10.96999999999997
50.705451011657715,300.0,290.07499999999993,39,66,9.925000000000068
